idquest;question;souscat
10;Capacité d'analyse / compréhension des problèmes;Maîtrise des domaines scientifiques et techniques
11;Mise en oeuvre de ses connaissances;Maîtrise des domaines scientifiques et techniques
12;Aptitudes à acquérir de nouvelles connaissances;Maîtrise des domaines scientifiques et techniques
13;Méthodologie / organisation du travail, gestion de projet;Maîtrise des méthodes et des outils de l'ingénieur
14;Synhtèse et communication des résultats, maîtrise des outils de communication;Maîtrise des méthodes et des outils de l'ingénieur
15;Réalisation des objectifs - Qualité du travail réalisé;Conduite de l'action et prise de décision
16;Autonomie -initiative / créativité / ouverture d'esprit;Conduite de l'action et prise de décision
17;Capacité à s'intégrer dans une équipe;Intégration dans une organisation et capacité d'animation
18;Communication sur ses activités et capacité à rendre compte;Intégration dans une organisation et capacité d'animation
19;Prise en compte des enjeux métiers et économiques;Intégration dans une organisation et capacité d'animation
20;Appropriation des valeurs, codes et de la culture de l'équipe et de l'organisation;Respect des valeurs sociétales, sociales et environnementales
21;Attitude / assiduité / ponctualité;Respect des valeurs sociétales, sociales et environnementales
